Marca temporal,Dirección de correo electrónico,Sede,Ubicación,Sub-Ubicación,Nombre del articulo,Foto actual del articulo,Tipo de elemento,Serie,estado,Disponible para su uso,Descripción,Cantidad,Valor unitario,Observaciones,Fecha,Nombre de quien realiza el proceso,Nombre de testigos,Observaciones,Aulas de clases,Articulo del aula de clases,Aulas de tecnología,Articulo del aula de tecnología,Aulas de informática,Articulo del aula de informática,Aulas de música,Articulo del aula de música,Aulas múltiples,Articulo del Aula múltiple,Bibliotecas,Articulo de la Biblioteca,Laboratorios de Física,Articulo del Laboratorio de Física,Laboratorios de Química,Articulo del Laboratorio de Química,Oficinas,Articulo de la Oficina,Codigo contable,Vida util [años],Valor total,Imagen,Edit Url,Etiqueta,Cards,Color,timestampTemp
DateFilter - Hidden,Hidden,CategoryFilter,CategoryFilter,CategoryFilter,CategoryFilter,,CategoryFilter,Hidden,CategoryFilter,CategoryFilter,Hidden,,,Hidden,,,,,,,,,,,,,,,,,,,,,,,,,,Hidden,Hidden,https://drive.google.com/a/denzilescolar.edu.co/file/d/1hmvjdas4wtakp03TcRvF8rzSmgWv6_VI/view?usp=drivesdk,CardsContent - Hidden,CardsColor,Hidden
1/3/2019 7:43:31,eidermejia@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 002,Abanico de techo,https://drive.google.com/open?id=1d7gVt7d3L8j1ehgBRHWEBQsCZEHpKuwe,"Propiedad, planta y equipo.",,Malo,Si,No enciende,1,,No enciende,,,,,Aula - 001,Abanico de techo,,,,,,,,,,,,,,,,,,,3,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=1d7gVt7d3L8j1ehgBRHWEBQsCZEHpKuwe,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnucK38fnOW-L6Tik2OeZT38g2l50M2B39W-XwsUdTLgBmhDvR-Zcb6v4G1JSq0F3tzs,https://drive.google.com/a/denzilescolar.edu.co/file/d/1bGrS6XNpXU_UYq2fD6LXILab7SeQZK1E/view?usp=drivesdk,,#ffffff,1/3/2019
1/3/2019 7:45:13,inventarios@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 001,Lámpara,https://drive.google.com/open?id=1y1XeKcr3nRHUD2hiKxTSgwKKpzgRI3jg,"Propiedad, planta y equipo.",,Regular,Si,,1,,,,,,,Aula - 001,Abanico de techo,,,,,,,,,,,,,,,,,,,4,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=1y1XeKcr3nRHUD2hiKxTSgwKKpzgRI3jg,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnufqsj1LQAYwzTuPkbA7r1-xUGpsJ1qEMrI5kAX7u0nzO24CeX3pXARqMkoGk6K4KK8,https://drive.google.com/a/denzilescolar.edu.co/file/d/1p_I5i0N9lqC8_aG0kEUvu4TEjZhCmBlO/view?usp=drivesdk,,#ffffff,1/3/2019
1/3/2019 7:45:26,eidermejia@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 002,Abanico de techo,https://drive.google.com/open?id=1GmeqZwULCYCCmKjTXutqP0S9tF0QGuA8,"Propiedad, planta y equipo.",,Bueno,Si,,1,,,,,,,Aula - 001,Abanico de techo,,,,,,,,,,,,,,,,,,,5,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=1GmeqZwULCYCCmKjTXutqP0S9tF0QGuA8,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnud3Xr3ehVn5s8nqzzWTZQddcgUiKouFXUrVVX_FoLJFU6irdJBbln_HyKB2WvUCdA8,https://drive.google.com/a/denzilescolar.edu.co/file/d/1IFTb9Xg3Yah-_Yuk2prKI8dlEQ66YOYX/view?usp=drivesdk,,#ffffff,1/3/2019
1/3/2019 7:48:08,inventarios@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 001,Lámpara,https://drive.google.com/open?id=1MoJCvm8rXivcRtH--mCnn6cLF0cRLVvT,"Propiedad, planta y equipo.",,Bueno,Si,,1,,,,,,,Aula - 001,Abanico de techo,,,,,,,,,,,,,,,,,,,6,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=1MoJCvm8rXivcRtH--mCnn6cLF0cRLVvT,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnucVm9SYH6puNR_TkGvLggWUcQvwmuQMjyjXHWSgRLJLU2EiH1dX-AvqVPYJz9pGsJA,https://drive.google.com/a/denzilescolar.edu.co/file/d/117dVM4xp9J7f_Vk2z4G7M5d6aj2tYl7X/view?usp=drivesdk,,#ffffff,1/3/2019
1/3/2019 7:48:30,eidermejia@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 002,Tablero,https://drive.google.com/open?id=1Jqu8w2VTyNmlncoZPYG23SlrsyXL_j3U,Materiales para educación.,,Regular,Si,,1,,,,,,,Aula - 001,Abanico de techo,,,,,,,,,,,,,,,,,,,7,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=1Jqu8w2VTyNmlncoZPYG23SlrsyXL_j3U,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnueffxwFnZzKD7-iyLsiczyAU6jRVA4iHqO37GgH5oJZ_Tnkaqa50eCa8enLWsPirlk,https://drive.google.com/a/denzilescolar.edu.co/file/d/17uIEMjARZvhh9bhz4JytLKZ8XIwa2ZNP/view?usp=drivesdk,,#ffffff,1/3/2019
1/3/2019 7:49:19,inventarios@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 001,Lámpara,https://drive.google.com/open?id=1MNHwy67z3NK16qsPJuPHWmLznHsuh-XI,"Propiedad, planta y equipo.",,Bueno,Si,,1,,,,,,,Aula - 002,Abanico de techo,,,,,,,,,,,,,,,,,,,8,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=1MNHwy67z3NK16qsPJuPHWmLznHsuh-XI,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnucjW5z_hYr_-pTv1pwjbwlTeZDVlBya_5AmhE_9-HNsP9gHfzZ3sm-vvGcgAEOrKTQ,https://drive.google.com/a/denzilescolar.edu.co/file/d/14PQt9V20H5MN0npF0mBOtMKmzQFHPf1S/view?usp=drivesdk,,#ffffff,1/3/2019
1/3/2019 7:50:19,eidermejia@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 002,Escritorio,https://drive.google.com/open?id=1yytgeJf0tBIT4ISRKaOlcjR5YMNaw17-,"Propiedad, planta y equipo.",,Bueno,Si,,1,,,,,,,Aula - 002,Abanico de techo,,,,,,,,,,,,,,,,,,,9,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=1yytgeJf0tBIT4ISRKaOlcjR5YMNaw17-,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnucEusGqt7Nbl7_1mrqPXLM7iVZH6efi6M_x8h4AvWUSxMWkkSKux65TfRQA4kU-e_0,https://drive.google.com/a/denzilescolar.edu.co/file/d/1E317Yb6e1FNNkYKNKMVNTsz67ucOTwiZ/view?usp=drivesdk,,#ffffff,1/3/2019
1/3/2019 7:51:26,inventarios@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 001,Lámpara,https://drive.google.com/open?id=1lzYMcHDe9-nmZwIP2-hvZVg_FxSkIMiP,"Propiedad, planta y equipo.",,Bueno,Si,,1,,,,,,,Aula - 002,Abanico de techo,,,,,,,,,,,,,,,,,,,10,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=1lzYMcHDe9-nmZwIP2-hvZVg_FxSkIMiP,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnufdyyFmjylqN-a_r_cozNmlvYPGyaine2OaO4TxiamJdkg5tRw4jUrZGNZPXu-OLWY,https://drive.google.com/a/denzilescolar.edu.co/file/d/1HIzi7yUuuumwDnlM5fDZ-nyk7627hpON/view?usp=drivesdk,,#ffffff,1/3/2019
1/3/2019 7:53:13,inventarios@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 001,Lámpara,https://drive.google.com/open?id=1TgqxVQu95-ARxmAf4b8Mu6JR5lOthOCe,"Propiedad, planta y equipo.",,Bueno,Si,,1,,,,,,,Aula - 001,Lámpara,,,,,,,,,,,,,,,,,,,11,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=1TgqxVQu95-ARxmAf4b8Mu6JR5lOthOCe,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnudMGV1Zz1RQaHolQ7SOIugc_KMDRCibNQ49gUOLoqXdszqbrPE69GUCCNktE0TpSEs,https://drive.google.com/a/denzilescolar.edu.co/file/d/1cxKFoH4HlYWyJK4-y1QRh4csRZHlmqho/view?usp=drivesdk,,#ffffff,1/3/2019
